username,date,tweet,sentiment,lat,lon,location
ZhukmaShu,"Jan,21","Jangan kapok yah Pak Kadis Panggil kami masuk k ruangan bapak ????
Sepertinya masih ada banyak karton di dalam ruangan ????
.
.
Hasil merayu minta susu buat dibagi ke Balita stunting di PKMâ€¦ instagram.com/p/Bs7HszvHBCG/â€¦",pos,-3.99846,122.513,Kendari Kota Kendari Sulawesi Tenggara Indonesia
fabian_shakti,"Jan,07","Tak perlu ada pemilu. Mahal biayanya smp 20an T. Lbh bagus utk membeli susu. Krn skrng ada 20 jutaan balita stunting, kalau dr jauh hari sdh ditetapkan pemenangnya dr kasak kusuk.",pos,-0.789275,113.921,Indonesia
smilyciouss,"Jan,06","betul, yg sekarang jadi sorotan balita stunting karena itu masing mudah ditangani.. tapi coba dicek penderita stunting pada usia diatas 5 tahun, banyaaakkk bangeeettt... ????",pos,-0.789275,113.921,Indonesia
mentariNews_,"Feb,23",Berdasarkan data dari PSG pada tahun 2016 jumlah balitaÂ stunting berada pada jumlah 27.5% namun pada tahun 2017 naik menjadi 29.6%. â€“ Mentari News mentari.news/2019/02/kenaliâ€¦,pos,-0.789275,113.921,Indonesia
DitGizi,"Feb,11","Prevalensi balita stunting menurun dari 37,2% di tahun 2013 menjadi 30,8% di tahun 2018, prevalensi Balita underweight juga menurun dari 19,6% menjadi 17,7% dan balita wasting juga menurun dari 12,1% menjadi 10,2% (Riskesdas, 2013) (3)",pos,-6.20876,106.846,Jakarta Daerah Khusus Ibukota Jakarta Indonesia
FajriRuli,"Feb,05","""Pemantauan Status Gizi (PSG) 2017 menunjukkan prevalensi Balita stunting di Indonesia masih tinggi, yakni 29,6% di atas batasan yang ditetapkan WHO (20%)""
#MasBambangDPDJogja, #DPDkuduobah #NgayaniJogja",pos,-7.71617,110.335,Sleman Warak Kidul Sumberadi Kecamatan Mlati Kabupaten Sleman Daerah Istimewa Yogyakarta Indonesia
VostokMerah,"Feb,04",Kalau cerdas koq balita stunting malah bertambah banyak dari 2014 ? Kecerdasaanya dipakai apa ya? ????,pos,-0.789275,113.921,Indonesia
AllexChandraa,"Mar,31","Nah Tweeps sudah tahu belum, ada publikasi terbaru WHO (2018) berjudul Reducing Stunting in Children menyebutkan secara global pada 2016, sebanyak 22,9% atau 154,8 juta anak-anak Balita stunting #PentingCegahStunting",pos,-4.82461,104.896,Kotabumi Kotabumi Kabupaten Lampung Utara Lampung Indonesia
pkm_durenseribu,"Mar,30","Pertemuan lintor pencegahan dan penanganan balita stunting tingkat kota depok tgl 28/03/2019
#pepdinkesdepok#dinkesdepok#sik_depok instagram.com/p/BvoEU5aAZLB/â€¦",pos,-6.14866,106.735,Kecamatan Cengkareng Kota Jakarta Barat Daerah Khusus Ibukota Jakarta Indonesia
balitakita_,"Mar,27","Tahun lalu, sejumlah daerah di Gunung Kidul masih manjadi perhatian akibat angka stunting yang cukup tinggi. Dinas Kesehatan Gunungkidul mencatat ada sekitar 6.200 balita stunting di Gunungkidul tiap tahunnya. @BPOM_RI
sinarharapan.net/2019/03/di-gunâ€¦
#pangansehat
#bijakpakaiskm",pos,-6.18051,106.828,Jakarta Pusat Kota Jakarta Pusat Daerah Khusus Ibukota Jakarta Indonesia
BeritagarID,"Mar,18","Presentase balita stunting di Indonesia

2013: 37,2% 
2014: 28,9% 
2015: 29%
2016: 29% 
2017: 29,6% 
2018: 30,8%

Data Riskesdas 2018 yang diolah #Lokadata menunjukkan, 30,8% balita mengalami stunting. Angkanya turun jika dibandingkan dengan tahun 2013.  

beritagar.id/artikel/beritaâ€¦ pic.twitter.com/PrbxJcWzWX",pos,-6.20876,106.846,Jakarta Daerah Khusus Ibukota Jakarta Indonesia
woelannnn,"Mar,17","Angka stunting sdh turun 7% selama pemth Jokowi-Jk.
Dikutip dr laman Kementerian Kesehatan, data hasil Riset Kesehatan Dasar (Riskesdas) thn 2018 memperlihatkan telah terjadi perbaikan, prevalensi balita stunting turun menjadi 30,8 % dari 37,2 % pd thn 2013

#KyaikuKeren",pos,0.0,0.0,
cekfaktacom,"Mar,17","KESIMPULAN
Menurut Hasil Utama Riset Kesehatan Dasar (Riskesdas) 2018, angka prevalensi balita stunting memang telahâ€¦ instagram.com/cekfaktacom/p/â€¦",pos,-0.789275,113.921,Indonesia
HaloKBR,"Mar,17","[1/2] #CekFakta
@KHMarufAmin_ klaim pemerintahan Jokowi-JK berhasil menurunkan angka stunting 7 persen.
Riset Kesehatan Dasar (Riskesdas) thn 2018 memang sdh terjadi perbaikan, terlihat dari prevalensi balita stunting turun jadi 30,8% dari 37,2% (2013). #DebatCawapres2019",pos,-6.20876,106.846,Jakarta Daerah Khusus Ibukota Jakarta Indonesia
akurommy,"Mar,17","Data dari Kementerian Kesehatan menunjukkan balita stunting meningkat sejak tahun 2014. Namun, balita stunting tahun 2018 menurun jika dibandingkan tahun 2013 yakni 6,4 persen.",pos,-0.789275,113.921,Indonesia
akurommy,"Mar,17","Tahun 2018 persentase balita stunting yakni 30,8 persen. Persentase ini meningkat sebesar 1,2 persen dibandingkan tahun sebelumnya. 

lokadata.beritagar.id/chart/preview/â€¦",pos,-0.789275,113.921,Indonesia
akmaller,"Mar,17","Secara Nasional Indonesia memiliki 9 juta atau 37 % balita stunting sehingga WHO menetapkan Indonesia sebagai negara no 4 paling banyak angka stunting di dunia.
#SandiMenangDebat #02UnggulDebat",pos,-4.35185,119.928,Kabupaten Soppeng Sulawesi Selatan Indonesia
beritabangka,"Mar,08",Balita Stunting di Bangka Selatan Tersebar di 8 Desa goo.gl/fb/7oRwej,pos,-2.13163,106.117,Pangkal Pinang Kota Pangkal Pinang Kepulauan Bangka Belitung Indonesia
